kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,is_candidate
8324518,K04393.01,,CANDIDATE,CANDIDATE,0.936,0,0,0,0,1.62888267,9.375e-06,-9.375e-06,132.33899,0.00392,-0.00392,0.147,0.31,-0.147,1.72,0.124,-0.124,130.9,12.2,-12.2,0.92,0.19,-0.08,1327.0,,,733.67,485.2,-187.7,12.5,1.0,q1_q17_dr25_tce,5398.0,177.0,-160.0,4.571,0.034,-0.136,0.811,0.169,-0.068,299.27658,44.291981,15.295,1
5866099,K01055.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,36.97708808,8.505e-05,-8.505e-05,133.62681,0.00195,-0.00195,1.246,70.6,-0.102,4.737,0.101,-0.101,1269.9,25.5,-25.5,38.6,11.56,-11.56,602.0,,,31.08,28.03,-17.42,59.2,1.0,q1_q17_dr25_tce,5589.0,169.0,-152.0,4.193,0.3,-0.2,1.239,0.371,-0.371,288.44287,41.17218,13.698,0
10684670,K02317.01,Kepler-1189 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,3.78861833,2.285e-05,-2.285e-05,134.61419,0.00497,-0.00497,0.183,0.265,-0.183,2.808,0.185,-0.185,143.4,9.7,-9.7,1.23,0.18,-0.14,1158.0,,,424.17,160.77,-111.15,18.2,1.0,q1_q17_dr25_tce,5560.0,75.0,-75.0,4.379,0.11,-0.099,1.04,0.149,-0.122,298.42633,47.946781,14.285,1
7024511,K00311.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,66.1544958,0.0005669,-0.0005669,175.64641,0.00621,-0.00621,0.8526,0.0749,-0.593,6.945,0.297,-0.297,1972.0,104.0,-104.0,3.33,0.35,-0.31,315.0,,,2.33,0.97,-0.66,42.7,,,4679.0,175.0,-157.0,4.627,0.053,-0.041,0.643,0.068,-0.06,288.9256,42.531509,12.655,0
7767162,K02869.01,Kepler-1375 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.30040818,2.21e-05,-2.21e-05,133.56723,0.00602,-0.00602,0.008,0.446,-0.008,4.462,0.164,-0.164,98.8,5.9,-5.9,1.43,0.26,-0.19,1543.0,,,1341.9,621.65,-382.51,19.3,1.0,q1_q17_dr25_tce,6333.0,75.0,-82.0,4.229,0.099,-0.121,1.438,0.261,-0.19,296.29355,43.403271,13.749,1
4072333,K02731.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,2.007750531,6.509e-06,-6.509e-06,132.57843,0.00265,-0.00265,0.42,0.05,-0.407,2.0715,0.0886,-0.0886,352.0,19.0,-19.0,1.64,0.37,-0.16,1319.0,,,716.79,489.85,-198.02,21.8,1.0,q1_q17_dr25_tce,5645.0,169.0,-169.0,4.549,0.04,-0.16,0.865,0.193,-0.083,295.33014,39.16254,15.664,0
4150390,K01768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,55.25178622,1.864e-05,-1.864e-05,144.456513,0.000294,-0.000294,0.978,0.267,-0.076,6.094,0.0151,-0.0151,39874.0,85.1,-85.1,27.32,7.85,-2.46,444.0,,,9.15,7.89,-2.52,585.0,1.0,q1_q17_dr25_tce,5793.0,172.0,-189.0,4.561,0.034,-0.195,0.832,0.239,-0.075,289.68658,39.297199,15.807,0
9471268,K01835.02,Kepler-326 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.248288213,2.61e-06,-2.61e-06,133.425805,0.000957,-0.000957,0.004,0.46,-0.004,2.0361,0.0311,-0.0311,263.2,5.0,-5.0,1.25,0.08,-0.06,1127.0,,,380.75,87.12,-61.45,59.7,1.0,q1_q17_dr25_tce,5103.0,101.0,-101.0,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32553,46.002251,13.693,1
12643589,K00376.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.411627439,8.27e-07,-8.27e-07,178.263426,0.000453,-0.000453,0.853,0.039,-0.614,1.0814,0.0154,-0.0154,515.2,11.1,-11.1,2.99,0.97,-0.33,1966.0,,,3523.63,3272.15,-1073.69,53.1,2.0,q1_q17_dr25_tce,6692.0,160.0,-220.0,4.383,0.065,-0.208,1.152,0.374,-0.125,288.32147,51.726601,13.754,0
6767840,K02506.01,Kepler-1262 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.679037,3.976e-05,-3.976e-05,140.90423,0.00409,-0.00409,0.224,0.234,-0.224,2.864,0.106,-0.106,301.6,17.3,-17.3,1.79,0.59,-0.25,949.0,,,191.84,188.93,-68.41,19.9,1.0,q1_q17_dr25_tce,6117.0,190.0,-212.0,4.42,0.087,-0.203,1.027,0.334,-0.143,288.77182,42.213219,15.18,1
3838496,K03700.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.990252395,2.332e-06,-2.332e-06,133.110629,0.000877,-0.000877,1.117,0.103,-0.123,7.8462,0.0338,-0.0338,216440.0,523.0,-523.0,89.85,0.0,0.0,1264.0,,,603.02,0.0,0.0,541.7,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,287.75238,38.929794,17.9,0
11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,0.761,0,0,0,0,4.437962934,1.71e-07,-1.71e-07,171.0091259,2.88e-05,-2.88e-05,0.069,0.007,-0.05,4.69813,0.00079,-0.00079,16388.0,5.3,-5.3,18.05,2.92,-3.57,1338.0,,,757.65,339.17,-311.08,3535.6,1.0,q1_q17_dr25_tce,5953.0,105.0,-129.0,4.175,0.168,-0.112,1.415,0.229,-0.28,286.24344,50.040379,13.438,1
5607631,K02254.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,20.5696575,0.0001217,-0.0001217,140.25123,0.00485,-0.00485,1.298,70.55,-4.561,4.263,0.222,-0.222,401.5,21.3,-21.3,28.96,7.85,-2.45,650.0,,,42.09,33.45,-11.24,22.2,1.0,q1_q17_dr25_tce,6098.0,163.0,-200.0,4.562,0.035,-0.196,0.838,0.227,-0.071,287.80338,40.890228,14.659,0
5796185,K03369.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,42.559265547,4.626e-06,-4.626e-06,161.57039,9.76e-05,-9.76e-05,0.775,0.021,-0.023,3.36626,0.00445,-0.00445,207990.0,261.0,-261.0,51.86,14.84,-4.93,487.0,,,13.28,11.39,-3.75,950.0,1.0,q1_q17_dr25_tce,5764.0,170.0,-187.0,4.548,0.036,-0.192,0.863,0.247,-0.082,293.45609,41.045849,15.831,0
10399137,K05791.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,385.593209,0.006574,-0.006574,393.8276,0.0129,-0.0129,0.5548,0.0122,-0.4744,2.799,0.51,-0.51,282.9,50.2,-50.2,2.37,1.26,-0.54,311.0,,,2.2,3.55,-1.05,5.6,1.0,q1_q16_tce,6205.0,165.0,-196.0,4.194,0.202,-0.27,1.358,0.725,-0.31,289.53293,47.596931,13.927,0
6367663,K05275.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,3.781123,0.001038,-0.001038,135.204,0.341,-0.341,0.004,0.456,-0.004,8.15,2.0,-2.0,90.4,12.3,-12.3,1.16,0.33,-0.26,1421.0,,,962.72,819.53,-472.32,9.0,1.0,q1_q17_dr25_tce,6318.0,199.0,-244.0,4.247,0.209,-0.171,1.216,0.339,-0.277,292.99493,41.712749,14.531,1
9910942,K04324.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,8.4803326,0.0001724,-0.0001724,135.8598,0.0183,-0.0183,0.556,0.412,-0.34,5.918,0.558,-0.558,35.6,3.9,-3.9,1.35,0.26,-0.46,1390.0,,,882.07,527.66,-540.43,11.0,1.0,q1_q17_dr25_tce,6245.0,172.0,-191.0,3.826,0.308,-0.103,2.179,0.43,-0.736,298.82495,46.713531,12.797,0
5881120,K04156.01,Kepler-1943 b,CONFIRMED,CANDIDATE,0.972,0,0,0,0,4.85018974,5.845e-05,-5.845e-05,135.31157,0.00862,-0.00862,0.985,0.027,-0.69,5.676,0.158,-0.158,64.5,4.5,-4.5,1.1,0.35,-0.12,1098.0,,,344.04,328.83,-106.43,15.8,1.0,q1_q17_dr25_tce,6032.0,168.0,-210.0,4.485,0.054,-0.216,0.973,0.315,-0.105,293.31827,41.116669,13.809,1
7522911,K01705.01,Kepler-1670 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.4998763,0.0001716,-0.0001716,131.82068,0.00664,-0.00664,0.943,0.0,-0.7,6.501,0.142,-0.142,437.8,22.8,-22.8,2.8,0.92,-0.31,731.0,,,67.67,65.55,-21.1,21.1,1.0,q1_q17_dr25_tce,6249.0,174.0,-217.0,4.428,0.067,-0.202,1.076,0.353,-0.118,290.32651,43.12183,15.442,1
8581232,K06059.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,4.012537983,1.58e-06,-1.58e-06,134.652406,0.000331,-0.000331,0.783,0.034,-0.003,2.0101,0.0302,-0.0302,19796.0,180.0,-180.0,9.96,0.71,-0.98,765.0,,,80.95,22.33,-22.62,166.0,1.0,q1_q17_dr25_tce,4483.0,120.0,-133.0,4.629,0.056,-0.024,0.63,0.045,-0.062,298.57599,44.683788,15.381,0
11194032,K00348.01,Kepler-533 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,28.51117639,2.651e-05,-2.651e-05,187.363955,0.000731,-0.000731,0.77,0.006,-0.557,4.5941,0.0706,-0.0706,1844.6,14.7,-14.7,3.27,0.19,-0.13,423.0,,,7.55,1.57,-1.13,145.5,1.0,q1_q17_dr25_tce,4687.0,93.0,-93.0,4.627,0.015,-0.039,0.69,0.039,-0.028,293.68573,48.825142,13.933,1
